alcatel,3x,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),,,"2018, February","Available. Released 2018, May",153.5 x 71.6 x 8.5 mm (6.04 x 2.82 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm (~76.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Metallic Black, Metallic Blue, Metallic Gold - EU/MEASpectrum Black, Spectrum Blue, Spectrum Gold - LATAM",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5058A/J,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,"16GB 2GB RAM, 32GB 3GB RAM",,1080p@30fps,About 130 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28 - 5058A/J",,,eMMC 5.1,V1,,LED flash,,Yes (5058Y only),,"5058, 5058I, 5058T, 5058Y, 5058A, 5058J",,,,,,,V1,,,,,,,,,,,Non-removable Li-Ion 3000 mAh battery,,,,,,,,"1, 3, 7, 8, 20, 28 - 5058Y",,
alcatel,3088,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,2019,Available. Released 2019,125.2 x 50.5 x 12.8 mm (4.93 x 1.99 x 0.50 in),90 g (3.17 oz),Nano-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm (~28.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP",Yes,FM radio,microUSB 2.0,V1,,,,,,,"MP3/MP4/H.263 player  Photo viewer  Organizer  Facebook, Whatsapp, YouTube, Google Maps","Black, Gray, Blue",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",KaiOS,Spreadtrum SC9820E,Dual-core (2x1.3 GHz Cortex-A7),,4GB 512MB,2 MP,480p,About 50 EUR,LED flash,,"1, 3, 7, 8, 20, 28",,,,,,,,,,"3088X, 3088T",,,,,,,,,,,,,,,,,,Li-Ion 1530 mAh battery,,,,,V1,,,"1, 3, 5, 7, 8, 28, 38, 40",Up to 15 h (2G) / Up to 9 h (3G),Up to 300 h (2G) / Up to 300 h (3G)
alcatel,Pop 7 LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2016, April","Available. Released 2016, April",192 x 110 x 9.4 mm (7.56 x 4.33 x 0.37 in),295.1 g (10.41 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~65.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,,"Yes, with stereo speakers (4 speakers)",,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.1, A2DP, LE",Yes,No,microUSB 2.0,V1,,,,,,,,White,HSDPA 850 / 1700(AWS) / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 6.0.1 (Marshmallow),,Quad-core 1.1 GHz,,8GB 1GB RAM,5 MP,Yes,About 130 EUR,,,"2, 4, 12",,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Non-removable Li-Ion 3240 mAh battery,,,,,,,,,,
alcatel,Pixi 8,No cellular connectivity,N/A,No,No,"2014, June. Released 2014, July",Discontinued,209 x 124.5 x 9 mm (8.23 x 4.90 x 0.35 in),325 g (11.46 oz),No,TFT capacitive touchscreen,"8.0 inches, 185.6 cm (~71.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",No,Yes,No,microUSB 2.0,V1,,,,,,,,"Bluish Black, Chocolate, Aubergine",,,Android 4.4.2 (KitKat),,,,"4GB 512MB RAM (EMEA), 8GB 1GB RAM (LATAM)",VGA,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,VGA,Yes,,,,,,,,,,Non-removable Li-Ion 3240 mAh battery,,,,,,,,,,
alcatel,Pop 7S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2014, January. Released 2014, Q2",Discontinued,192 x 113 x 9 mm (7.56 x 4.45 x 0.35 in),279 g (9.84 oz),Micro-SIM,IPS LCD capacitive touchscreen,"7.0 inches, 137.9 cm (~63.6% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,"White, Black/ color back panels",HSDPA 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,4GB 1GB RAM,3 MP,Yes,About 190 EUR,,,"1, 3, 7, 8, 20 - P330X",,,eMMC 4.5,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 3240 mAh battery,,,,,,,,"1, 3, 5, 7, 8, 20 - P330A",,
alcatel,Pixi 7,No cellular connectivity,N/A,No,No,"2014, February. Released 2014, July",Discontinued,9.9 mm thickness,285 g (10.05 oz),No,TFT capacitive touchscreen,"7.0 inches, 135.1 cm","540 x 960 pixels, 16:9 ratio (~157 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,No,No,microUSB 2.0,V1,,,,,,,,"Bluish Black, Gun Gray/ Color Skins",,,Android 4.4.2 (KitKat),Mediatek MT8117,Dual-core 1.2 GHz Cortex-A7,PowerVR SGX544,"4GB 512MB RAM (EMEA), 4GB 1GB RAM (LATAM)",VGA,Yes,About 80 EUR,,,,,,,,,,,,,I216X,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 2840 mAh battery,,,,,,,,,Up to 4 h (multimedia),
alcatel,Pop 8,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2014, January. Released 2014, Q2",Discontinued,209 x 123 x 7.9 mm (8.23 x 4.84 x 0.31 in),325 g (11.46 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm (~72.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,microSDXC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,White,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.2 (Jelly Bean),Mediatek MT8382 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,4GB 1GB RAM,2 MP,Yes,,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 4100 mAh battery,,,,,,,,HSDPA 850 / 1900 / 2100,,Up to 500 h (2G) / Up to 140 h (3G)
alcatel,Pop 7,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,,,"2014, January. Released 2014, Q2",Discontinued,192 x 113 x 8.9 mm (7.56 x 4.45 x 0.35 in),285 g (10.05 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~63.6% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,White,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.2 (Jelly Bean),Mediatek MT8312 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,4GB 1GB RAM,2 MP,720p,About 160 EUR,,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Non-removable Li-Ion 3240 mAh battery,,,,,,,,HSDPA 850 / 1900 / 2100,,Up to 300 h (2G) / Up to 70 h (3G)
alcatel,One Touch Evo 8HD,No cellular connectivity,N/A,No,No,"2013, September. Released 2014, Q2",Discontinued,222 x 152.5 x 9 mm (8.74 x 6.00 x 0.35 in),415 g (14.64 oz),No,IPS LCD capacitive touchscreen,"8.0 inches, 198.2 cm (~58.5% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,microSDXC (dedicated slot),,,Yes,,Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,"microUSB 2.0, USB On-The-Go",V1,,,,,,,,"Black, Silver",,,Android 4.2 (Jelly Bean),Rockchip RK3066,Dual-core 1.6 GHz Cortex-A9,,4GB 1GB RAM,3.15 MP,Yes,,,,,,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,Non-removable Li-Ion 4160 mAh battery,,,,,,,,,Up to 3 h 30 min,Up to 200 h
alcatel,One Touch Evo 7,No cellular connectivity,N/A,No,No,"2013, January. Released 2013, January",Discontinued,191 x 127 x 11 mm (7.52 x 5.0 x 0.43 in),390 g (13.76 oz),Single SIM or Dual SIM (dual stand-by),TFT touchscreen,"7.0 inches, 137.9 cm (~56.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,microSDHC (dedicated slot),,,Yes,,No,Wi-Fi 802.11 b/g/n,"2.0, A2DP",Yes,No,microUSB 2.0,V1,,,,,,,,"Twilight Blue, Black, Vermillion",,,Android 4.0 (Ice Cream Sandwich),,1.0 GHz,,4GB 1GB RAM,VGA,Yes,About 100 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-removable Li-Ion battery,,,,,No,,,,Up to 6 h,Up to 200 h
